"","cell_type","VSCC_5","VSCC_6","VSCC_4","VSCC_1","VSCC_2","VSCC_3","VSCC_7","VSCC_8"
"1","B cell",0.0446236952911665,0.00669990556508603,0.0804260183267432,0.0699088011781637,0.134239643918815,0.136095178428923,0.0215123989704845,0.0195246259609818
"2","Macrophage M1",0.0149328815802205,0.0380545629125746,0.125520771761662,0,0.0276490777821604,0.00550363098764141,0,0.0230379106528179
"3","Macrophage M2",0.1171361084362,0.0478363957656335,0.216254014611191,0.474580130484277,0.090430487837523,0.344838553071205,0.223001171718913,0.0719207638603226
"4","Monocyte",0,0,0.00147326540126441,0.035577342599901,0.0115592928264486,0.0654549393180577,0,0
"5","Neutrophil",0,0,0,0,0,0,0,0
"6","NK cell",0.0242179796555577,0.0162307200749866,0.0486190208361522,0.00914538184140409,0,0.0128466637688274,0.00830066962177135,0.0288625051617268
"7","T cell CD4+ (non-regulatory)",0,0,0,0,0.304711718409875,0.0598376525088368,0.0720281189099263,0
"8","T cell CD8+",0,0,0.162099295879306,0.0611694474921019,0.0353169035638254,0.0596069885314489,0.0162634949423193,0
"9","T cell regulatory (Tregs)",0.0329733642608609,0.0331051283142746,0.00822987139439671,0.0231040032240795,0.125286235202052,0.112300196910819,0.021689581613962,0.0462346782408196
"10","Myeloid dendritic cell",0,0,0,0,0,0,0,0.00453067967162227
"11","uncharacterized cell",0.766115970775995,0.858073287367445,0.357377741789284,0.326514893180073,0.2708066404593,0.203516196474241,0.637204564222623,0.805888836451709
